model,band,edit,span,policy,cases,accuracy,evidence_accuracy,stale_usage_rate,clean_accuracy,vs_full_accuracy_delta,vs_full_accuracy_ci_low,vs_full_accuracy_ci_high,vs_full_evidence_accuracy_delta,vs_full_evidence_accuracy_ci_low,vs_full_evidence_accuracy_ci_high,vs_full_used_stale_fact_delta,vs_full_used_stale_fact_ci_low,vs_full_used_stale_fact_ci_high,vs_full_clean_accuracy_delta,vs_full_clean_accuracy_ci_low,vs_full_clean_accuracy_ci_high
Qwen2.5-0.5B,8-23,baseline,full_context,full_cache,80,0.3625,0.45,0.65,0.1875,,,,,,,,,,,,
Qwen2.5-0.5B,8-23,values,full_block,zero_lineage_conflict_values_layers_8_23,80,0.4125,0.65,0.375,0.4,0.05,0.0,0.1125,0.2,0.0875,0.3125,-0.275,-0.4,-0.15,0.2125,0.125,0.3
Qwen2.5-0.5B,8-23,keys,full_block,zero_lineage_conflict_keys_layers_8_23,80,0.0875,0.0,0.0,0.0875,-0.275,-0.4,-0.15,-0.45,-0.5625,-0.3375,-0.65,-0.75,-0.5375,-0.1,-0.2125,0.0125
Qwen2.5-0.5B,8-23,keys_values,full_block,zero_lineage_conflict_keys_values_layers_8_23,80,0.2875,0.225,0.2625,0.275,-0.075,-0.2,0.0625,-0.225,-0.3625,-0.0875,-0.3875,-0.5125,-0.2625,0.0875,-0.0375,0.225
Qwen2.5-0.5B,8-23,values,header,zero_lineage_conflict_values_layers_8_23_span_header,80,0.4625,0.5625,0.35,0.45,0.1,0.0375,0.175,0.1125,0.0,0.225,-0.3,-0.4125,-0.2,0.2625,0.175,0.3625
Qwen2.5-0.5B,8-23,keys,header,zero_lineage_conflict_keys_layers_8_23_span_header,80,0.0125,0.0,0.0,0.0125,-0.35,-0.4625,-0.2375,-0.45,-0.5625,-0.3375,-0.65,-0.75,-0.5375,-0.175,-0.2625,-0.0875
Qwen2.5-0.5B,8-23,keys_values,header,zero_lineage_conflict_keys_values_layers_8_23_span_header,80,0.3125,0.25,0.275,0.3,-0.05,-0.175,0.075,-0.2,-0.3375,-0.0625,-0.375,-0.5,-0.25,0.1125,-0.0125,0.2375
Qwen2.5-0.5B,8-23,values,body,zero_lineage_conflict_values_layers_8_23_span_body,80,0.325,0.45,0.675,0.1625,-0.0375,-0.1,0.0125,0.0,-0.0625,0.075,0.025,-0.0375,0.1,-0.025,-0.0625,0.0
Qwen2.5-0.5B,8-23,keys,body,zero_lineage_conflict_keys_layers_8_23_span_body,80,0.1875,0.0375,0.25,0.125,-0.175,-0.3125,-0.0375,-0.4125,-0.525,-0.3,-0.4,-0.55,-0.2375,-0.0625,-0.1875,0.0625
Qwen2.5-0.5B,8-23,keys_values,body,zero_lineage_conflict_keys_values_layers_8_23_span_body,80,0.3625,0.4125,0.725,0.1375,0.0,-0.1,0.1,-0.0375,-0.1625,0.0875,0.075,-0.025,0.175,-0.05,-0.125,0.025
Qwen2.5-1.5B,12-27,baseline,full_context,full_cache,40,0.375,0.0,1.0,0.0,,,,,,,,,,,,
Qwen2.5-1.5B,12-27,values,full_block,zero_lineage_conflict_values_layers_12_27,40,0.425,0.95,0.425,0.4,0.05,-0.1,0.2,0.95,0.875,1.0,-0.575,-0.725,-0.425,0.4,0.25,0.55
Qwen2.5-1.5B,12-27,keys,full_block,zero_lineage_conflict_keys_layers_12_27,40,0.15,0.025,0.175,0.125,-0.225,-0.4,-0.05,0.025,0.0,0.075,-0.825,-0.925,-0.7,0.125,0.025,0.225
Qwen2.5-1.5B,12-27,keys_values,full_block,zero_lineage_conflict_keys_values_layers_12_27,40,0.3,0.5,0.175,0.3,-0.075,-0.25,0.1,0.5,0.35,0.65,-0.825,-0.925,-0.7,0.3,0.175,0.45
Qwen2.5-1.5B,12-27,values,header,zero_lineage_conflict_values_layers_12_27_span_header,40,0.325,0.925,0.575,0.3,-0.05,-0.15,0.05,0.925,0.825,1.0,-0.425,-0.575,-0.275,0.3,0.175,0.45
Qwen2.5-1.5B,12-27,keys,header,zero_lineage_conflict_keys_layers_12_27_span_header,40,0.25,0.025,0.35,0.225,-0.125,-0.325,0.075,0.025,0.0,0.075,-0.65,-0.8,-0.5,0.225,0.1,0.35
Qwen2.5-1.5B,12-27,keys_values,header,zero_lineage_conflict_keys_values_layers_12_27_span_header,40,0.325,0.6,0.325,0.3,-0.05,-0.225,0.125,0.6,0.45,0.75,-0.675,-0.825,-0.525,0.3,0.175,0.45
Qwen2.5-1.5B,12-27,values,body,zero_lineage_conflict_values_layers_12_27_span_body,40,0.45,0.0,1.0,0.0,0.075,-0.05,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen2.5-1.5B,12-27,keys,body,zero_lineage_conflict_keys_layers_12_27_span_body,40,0.275,0.4,0.625,0.1,-0.1,-0.25,0.05,0.4,0.25,0.55,-0.375,-0.525,-0.225,0.1,0.025,0.2
Qwen2.5-1.5B,12-27,keys_values,body,zero_lineage_conflict_keys_values_layers_12_27_span_body,40,0.425,0.0,1.0,0.0,0.05,-0.075,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
