model,band,edit,span,policy,cases,accuracy,evidence_accuracy,stale_usage_rate,clean_accuracy,vs_full_accuracy_delta,vs_full_accuracy_ci_low,vs_full_accuracy_ci_high,vs_full_evidence_accuracy_delta,vs_full_evidence_accuracy_ci_low,vs_full_evidence_accuracy_ci_high,vs_full_used_stale_fact_delta,vs_full_used_stale_fact_ci_low,vs_full_used_stale_fact_ci_high,vs_full_clean_accuracy_delta,vs_full_clean_accuracy_ci_low,vs_full_clean_accuracy_ci_high
Qwen3-0.6B,9-27,baseline,full_context,full_cache,20,0.55,0.35,0.8,0.2,,,,,,,,,,,,
Qwen3-0.6B,9-27,values,full_block,zero_lineage_conflict_values_layers_9_27,20,0.5,1.0,0.55,0.45,-0.05,-0.2,0.1,0.65,0.45,0.85,-0.25,-0.45,-0.05,0.25,0.05,0.45
Qwen3-0.6B,9-27,keys,full_block,zero_lineage_conflict_keys_layers_9_27,20,0.5,1.0,0.55,0.45,-0.05,-0.2,0.1,0.65,0.45,0.85,-0.25,-0.45,-0.05,0.25,0.05,0.45
Qwen3-0.6B,9-27,keys_values,full_block,zero_lineage_conflict_keys_values_layers_9_27,20,0.5,1.0,0.55,0.45,-0.05,-0.2,0.1,0.65,0.45,0.85,-0.25,-0.45,-0.05,0.25,0.05,0.45
Qwen3-0.6B,9-27,values,header,zero_lineage_conflict_values_layers_9_27_span_header,20,0.5,1.0,0.5,0.5,-0.05,-0.2,0.1,0.65,0.45,0.85,-0.3,-0.5,-0.1,0.3,0.1,0.5
Qwen3-0.6B,9-27,keys,header,zero_lineage_conflict_keys_layers_9_27_span_header,20,0.45,1.0,0.5,0.45,-0.1,-0.25,0.0,0.65,0.45,0.85,-0.3,-0.5,-0.1,0.25,0.05,0.45
Qwen3-0.6B,9-27,keys_values,header,zero_lineage_conflict_keys_values_layers_9_27_span_header,20,0.5,1.0,0.5,0.5,-0.05,-0.2,0.1,0.65,0.45,0.85,-0.3,-0.5,-0.1,0.3,0.1,0.5
Qwen3-0.6B,9-27,values,body,zero_lineage_conflict_values_layers_9_27_span_body,20,0.45,0.45,0.8,0.2,-0.1,-0.25,0.0,0.1,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
Qwen3-0.6B,9-27,keys,body,zero_lineage_conflict_keys_layers_9_27_span_body,20,0.45,0.5,0.8,0.2,-0.1,-0.25,0.0,0.15,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Qwen3-0.6B,9-27,keys_values,body,zero_lineage_conflict_keys_values_layers_9_27_span_body,20,0.45,0.45,0.8,0.2,-0.1,-0.25,0.0,0.1,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
