scope,policy,cases,accuracy,evidence_accuracy,stale_usage_rate,avg_prefix_tokens,avg_latency_ms
all_rows,drop_stale_prompt,32,1.0,1.0,0.0,1574.71875,20489.160795681528
all_rows,full_cache,32,0.8125,0.65625,0.28125,1676.59375,20540.321285283426
all_rows,zero_lineage_conflict_keys_layers_8_23,32,1.0,0.9375,0.0625,1676.59375,20466.18094141013
all_rows,zero_lineage_conflict_keys_values_layers_8_23,32,1.0,0.9375,0.0625,1676.59375,20812.875260264263
all_rows,zero_lineage_conflict_values_layers_8_23,32,1.0,0.9375,0.03125,1676.59375,20377.03974089527
domain:user_preference,drop_stale_prompt,8,1.0,1.0,0.0,1544.0,21469.079900940415
domain:user_preference,full_cache,8,0.625,0.625,0.375,1641.5,21349.23646884272
domain:user_preference,zero_lineage_conflict_keys_layers_8_23,8,1.0,1.0,0.0,1641.5,20721.56931774225
domain:user_preference,zero_lineage_conflict_keys_values_layers_8_23,8,1.0,1.0,0.0,1641.5,21458.60814570915
domain:user_preference,zero_lineage_conflict_values_layers_8_23,8,1.0,1.0,0.0,1641.5,20585.424567805603
domain:policy_approval,drop_stale_prompt,4,1.0,1.0,0.0,1589.5,20595.78415658325
domain:policy_approval,full_cache,4,1.0,0.5,0.5,1690.5,20784.55504181329
domain:policy_approval,zero_lineage_conflict_keys_layers_8_23,4,1.0,0.5,0.5,1690.5,20652.564082993194
domain:policy_approval,zero_lineage_conflict_keys_values_layers_8_23,4,1.0,0.5,0.5,1690.5,20545.537270838395
domain:policy_approval,zero_lineage_conflict_values_layers_8_23,4,1.0,0.75,0.25,1690.5,20023.37177086156
domain:crm_followup,drop_stale_prompt,4,1.0,1.0,0.0,1609.25,18287.973520928062
domain:crm_followup,full_cache,4,0.5,0.5,0.5,1712.0,19286.201729555614
domain:crm_followup,zero_lineage_conflict_keys_layers_8_23,4,1.0,1.0,0.0,1712.0,17481.88482283149
domain:crm_followup,zero_lineage_conflict_keys_values_layers_8_23,4,1.0,1.0,0.0,1712.0,20187.05477088224
domain:crm_followup,zero_lineage_conflict_values_layers_8_23,4,1.0,1.0,0.0,1712.0,18146.024781046435
domain:deployment_state,drop_stale_prompt,4,1.0,1.0,0.0,1601.0,20605.524906306528
domain:deployment_state,full_cache,4,1.0,0.5,0.0,1712.5,21407.163885538466
domain:deployment_state,zero_lineage_conflict_keys_layers_8_23,4,1.0,1.0,0.0,1712.5,20675.54641724564
domain:deployment_state,zero_lineage_conflict_keys_values_layers_8_23,4,1.0,1.0,0.0,1712.5,21361.097645480186
domain:deployment_state,zero_lineage_conflict_values_layers_8_23,4,1.0,0.75,0.0,1712.5,21482.68961440772
domain:tool_trace,drop_stale_prompt,4,1.0,1.0,0.0,1564.75,21256.5928127151
domain:tool_trace,full_cache,4,1.0,0.75,0.25,1669.25,21442.08353140857
domain:tool_trace,zero_lineage_conflict_keys_layers_8_23,4,1.0,1.0,0.0,1669.25,21534.05439585913
domain:tool_trace,zero_lineage_conflict_keys_values_layers_8_23,4,1.0,1.0,0.0,1669.25,21966.031353571452
domain:tool_trace,zero_lineage_conflict_values_layers_8_23,4,1.0,1.0,0.0,1669.25,21322.84911465831
domain:task_state,drop_stale_prompt,4,1.0,1.0,0.0,1573.75,19624.570833402686
